Country,Life_expectancy_at_birth_2022_(years),Expected_years_of_schooling_2022_(years),Mean_years_of_schooling_2022_(years),Gross_national_income_(GNI)_per_capita_(2017_PPP_$),Class
Equatorial_Guinea,61.19,12.13132742,8.281327014,10662.65921,2
India,67.744,12.58370972,6.570700169,6950.526798,2
Micronesia_Federated_States_of,70.925,12.615048,7.33252398,3709.154916,2
Guatemala,68.674,10.76720388,5.668648013,8996.415822,2
Kiribati,67.661,11.80302,9.128581569,3440.416745,2
Honduras,70.728,9.961707633,7.296200514,5271.604988,2
Lao_Peoples_Democratic_Republic,68.999,10.18749046,5.94697053,7744.837346,2
Vanuatu,70.492,11.81160992,7.183209727,3243.980494,2
Sao_Tome_and_Principe,68.794,12.6637182,5.915788918,4054.106945,2
Eswatini_Kingdom_of,56.36,14.92692756,5.73,8391.855111,2
Namibia,58.059,11.75997928,7.243458294,9200.026599,2
Myanmar,67.256,12.06090998,6.518157697,4037.705141,2
Ghana,63.945,11.58627987,6.432318439,5380.271535,2
Kenya,62.055,11.38448201,7.686359882,4807.716317,2
Nepal,70.484,12.64451981,4.485598758,4025.554685,2
Cambodia,69.896,11.56094805,5.197100163,4291.113168,2
Congo,63.053,12.41647044,8.250552585,2902.808037,2
Angola,61.929,12.1676,5.844291601,5327.788251,2
Cameroon,60.958,13.38097793,6.537401781,3681.469988,2
Comoros,63.68,13.03771042,6.209056832,3260.555466,2
Zambia,61.803,11.01797045,7.284893177,3157.35862,2
Papua_New_Guinea,65.958,11.12736798,4.933631146,3710.326885,2
Timor-Leste,69.056,13.24177562,6.020059751,1629.160441,2
Solomon_Islands,70.742,10.30071445,5.8796802,2273.311097,2
Syrian_Arab_Republic,72.3,7.418754527,5.736797587,3594.10679,2
Haiti,63.728,11.13756869,5.609468426,2801.712516,2
Uganda,63.638,11.49553237,6.235476362,2240.585404,2
Zimbabwe,59.391,11.02558696,8.807762621,2078.918063,2
Nigeria,53.633,10.51407,7.585969925,4754.836408,1
Rwanda,67.129,11.38352013,4.878310204,2316.809277,1
Togo,61.588,12.96236085,5.590314011,2214.233649,1
Mauritania,64.691,8.051850319,4.754063344,5343.564069,1
Pakistan,66.431,7.89510849,4.422319019,5374.270423,1
Côte_dIvoire,58.916,10.10165024,4.23697763,5376.396062,1
Tanzania_United_Republic_of,66.782,8.585740089,5.639967963,2578.156006,1
Lesotho,53.036,11.07051125,7.545058784,2708.731464,1
Senegal,67.913,9.144550323,2.88736686,3463.806076,1
Sudan,65.578,8.501687381,3.87,3514.765869,1
Djibouti,62.859,8.028374362,3.889984156,4874.51828,1
Malawi,62.898,11.50487088,5.243740082,1432.472806,1
Benin,59.954,10.30257988,3.137261725,3406.072937,1
Gambia,62.906,8.977899686,4.512420177,2089.626826,1
Eritrea,66.604,7.318835512,5.09136442,1957.046464,1
Ethiopia,65.645,9.938743514,2.390854081,2368.758391,1
Liberia,61.1,10.46585369,5.318104412,1330.419917,1
Madagascar,65.23,9.213435879,4.592520237,1463.547925,1
Guinea-Bissau,59.861,10.5316806,3.673035,1879.853611,1
Congo_Democratic_Republic_of_the,59.743,9.579486913,7.206164799,1080.138308,1
Guinea,58.985,10.20014763,2.35910296,2404.165832,1
Afghanistan,62.879,10.70538475,2.514790058,1335.205733,1
Mozambique,59.625,10.72532345,3.860090017,1219.241361,1
Sierra_Leone,60.411,9.016348244,3.519426358,1612.666542,1
Burkina_Faso,59.766,8.091560364,2.318685239,2036.997179,1
Yemen,63.72,7.935313345,2.776825958,1105.763435,1
Burundi,61.977,9.966378953,3.305215598,712.0260007,1
Mali,59.417,7.037249603,1.626710057,2043.672433,1
Chad,52.997,8.185526568,2.282753488,1388.897502,1
Niger,62.08,7.186131428,1.341352433,1283.309235,1
Central_African_Republic,54.477,7.285887393,3.9531639,869.11237,1
South_Sudan,55.567,5.634770141,5.726140022,690.6607575,1
Somalia,56.107,7.647232333,1.900300026,1072.201461,1
